,Title,Country,Sample size,Camels,Goats,Sheep,cattle ,humans,wildlife,StudyYear,Typeofstudy,outbreak
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,6,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,2.5,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,32.6,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,1,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,62.5,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,20,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,10.9,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,50,1999,1,0
"Evans A, Gakuya F, Paweska JT, Rostal M, Akoolo L, Van Vuren PJ, Manyibe T, Macharia JM, Ksiazek TG, Feikin DR, Breiman RF, Kariuki Njenga M.",Prevalence of antibodies against Rift Valley fever virus in Kenyan wildlife.,kenya,,-,-,-,-,-,87.5,1999,1,0
" Youssef BZ, Donia HA.",The potential role of Rattus rattus in enzootic cycle of Rift Valley Fever in Egypt. 1-Detection of RVF antibodies in R. rattus  blood samples by both enzyme linked immuno sorbent assay (ELISA) and immuno-diffusion technique (ID) ,Egypt,,-,-,-,-,-,29.33,2000,1,0
"Gora D, Yaya T, Jocelyn T, Didier F, Maoulouth D, Amadou S, Ruel TD, Gonzalez JP.",The potential role of rodents in the enzootic cycle of Rift Valley fever virus in Senegal,Senegal,,-,-,-,-,-,3.8,1996,1,0
"Fischer-Tenhagen C, Hamblin C, Quandt S, Frölich K.",Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa,South Africa,,-,-,-,-,-,0,1987,1,0
"Fischer-Tenhagen C, Hamblin C, Quandt S, Frölich K.",Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa,Namibia,,-,-,-,-,-,0,1987,1,0
"Fischer-Tenhagen C, Hamblin C, Quandt S, Frölich K.",Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa,Kenya,,-,-,-,-,-,0,1987,1,0
"Fischer-Tenhagen C, Hamblin C, Quandt S, Frölich K.",Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa,South Africa,,-,-,-,-,-,0,1987,1,0
"Anderson EC, Rowe LW. ","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe. ",Zimbawe,,-,-,-,-,-,6.28,1989,1,0
"Anderson EC, Rowe LW. ","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe. ",Zimbawe,,-,-,-,-,-,0.35,1989,1,0
"Anderson EC, Rowe LW. ","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe. ",Zimbawe,,-,-,-,-,-,0.12,1989,1,0
"Anderson EC, Rowe LW. ","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe. ",Zimbawe,,-,-,-,-,-,4.47,1989,1,0
"Anderson EC, Rowe LW. ","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe. ",Zimbawe,,-,-,-,-,-,8.3,1989,1,0
"Anderson EC, Rowe LW. ","The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe. ",Zimbawe,,-,-,-,-,-,14.55,1989,1,0
Barnard BJ.,Antibodies against some viruses of domestic animals in southern African wild animals.,south africa,,-,-,-,-,-,0,1993,1,0
"Pretorius A1, Oelofsen MJ, Smith MS, van der Ryst E.",Rift Valley fever virus: a seroepidemiologic study of small terrestrial vertebrates in South Africa.,South Africa,,-,-,-,-,-,23,1986,1,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
